epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3203.21,0.67412,2.2828,1.03197,0.96018,0.91964,0.97039,0.73224,0.59897,1.89953,0.99525,0.0007294,0.0007294,0.0007294
43,3279.56,0.66632,2.2523,1.02523,0.96618,0.95547,0.97997,0.74321,0.58468,1.87915,0.99073,0.0007228,0.0007228,0.0007228
44,3356.21,0.66425,2.25537,1.02436,0.96397,0.95648,0.98178,0.73611,0.58599,1.85465,0.98522,0.0007162,0.0007162,0.0007162
45,3432.52,0.65859,2.24096,1.02313,0.94499,0.9502,0.97891,0.74674,0.58386,1.84919,0.98282,0.0007096,0.0007096,0.0007096
46,3510.6,0.64866,2.21737,1.01903,0.9704,0.93719,0.97474,0.74929,0.56702,1.80042,0.97646,0.000703,0.000703,0.000703
47,3588.91,0.65317,2.20978,1.01844,0.97532,0.9337,0.97263,0.73281,0.57348,1.83545,0.97919,0.0006964,0.0006964,0.0006964
48,3665.27,0.64294,2.20356,1.01929,0.97011,0.95169,0.97981,0.7434,0.56142,1.8116,0.97027,0.0006898,0.0006898,0.0006898
49,3742.04,0.64391,2.17238,1.01561,0.96079,0.94406,0.97268,0.74265,0.55945,1.80678,0.9678,0.0006832,0.0006832,0.0006832
50,3818.54,0.64566,2.20037,1.01555,0.97691,0.95671,0.98224,0.74993,0.55915,1.79261,0.97088,0.0006766,0.0006766,0.0006766
51,3895.05,0.64181,2.14683,1.00937,0.95603,0.95309,0.97766,0.73966,0.56327,1.78282,0.97524,0.00067,0.00067,0.00067
52,3971.89,0.62193,2.10146,1.00069,0.97717,0.95198,0.98442,0.7601,0.54142,1.73912,0.96132,0.0006634,0.0006634,0.0006634
53,4048.57,0.62426,2.10623,0.9999,0.96601,0.94984,0.98106,0.76004,0.54861,1.74468,0.95918,0.0006568,0.0006568,0.0006568
54,4124.9,0.61385,2.08093,0.99391,0.97164,0.95901,0.9828,0.76592,0.5344,1.69874,0.95426,0.0006502,0.0006502,0.0006502
55,4201.85,0.61407,2.0768,0.99355,0.94152,0.97293,0.98038,0.76222,0.52729,1.69534,0.94858,0.0006436,0.0006436,0.0006436
56,4278.17,0.60979,2.07739,0.99381,0.98275,0.96577,0.9857,0.76946,0.52853,1.69755,0.95187,0.000637,0.000637,0.000637
57,4355.2,0.60442,2.04972,0.98898,0.96166,0.96172,0.98288,0.75527,0.5367,1.72119,0.95121,0.0006304,0.0006304,0.0006304
58,4431.56,0.602,2.05295,0.98651,0.95374,0.94627,0.98135,0.7669,0.53351,1.7128,0.94562,0.0006238,0.0006238,0.0006238
59,4508.08,0.59659,2.02183,0.98473,0.97681,0.96261,0.98032,0.76886,0.52108,1.65756,0.94635,0.0006172,0.0006172,0.0006172
60,4584.65,0.59369,2.00977,0.98031,0.97059,0.95549,0.98069,0.77197,0.50911,1.61717,0.93819,0.0006106,0.0006106,0.0006106
61,4661.45,0.59039,1.99065,0.97825,0.96812,0.96671,0.98614,0.78079,0.51118,1.64984,0.9383,0.000604,0.000604,0.000604
62,4737.96,0.5916,1.97363,0.97883,0.96383,0.95991,0.98238,0.7776,0.51694,1.63732,0.94332,0.0005974,0.0005974,0.0005974
63,4814.45,0.58378,1.95547,0.97577,0.97438,0.95823,0.98088,0.78245,0.5021,1.61099,0.93065,0.0005908,0.0005908,0.0005908
64,4891.54,0.58024,1.94842,0.97286,0.97426,0.96409,0.98565,0.79947,0.5001,1.60857,0.93242,0.0005842,0.0005842,0.0005842
65,4968.47,0.57188,1.93552,0.97464,0.97093,0.9613,0.98377,0.78614,0.50666,1.62684,0.93186,0.0005776,0.0005776,0.0005776
66,5044.99,0.57399,1.94135,0.97292,0.98833,0.94576,0.98594,0.79467,0.5082,1.61468,0.93792,0.000571,0.000571,0.000571
67,5122,0.56931,1.92024,0.96819,0.9628,0.97243,0.98736,0.8011,0.48308,1.5717,0.92663,0.0005644,0.0005644,0.0005644
68,5198.65,0.56679,1.90614,0.96245,0.97254,0.97027,0.98711,0.79899,0.48566,1.56865,0.92372,0.0005578,0.0005578,0.0005578
